Scheme,NodeNum,ttime,tops,ops,tsize,thruput,p95,p99,p9999
AC-Cache,3,292.856,925150951,3359480,1.00382E+11,358674,0.00021,0.00036,0.000744
AC-Cache,3,167.339,925150951,6000760,91816865720,580799,0.000141,0.000317,0.00075
AC-Cache,3,167.539,925150951,6100350,91816865720,590601,0.00014,0.000326,0.000865
AC-Cache,6,335.341,925150951,2917240,79224412041,245264,0.000131,0.000151,0.000214
AC-Cache,6,274.96,925150951,3626580,64705096119,248521,0.000126,0.000146,0.000217
AC-Cache,6,278.407,925150951,3591500,64705096119,246133,0.000127,0.000148,0.000206
AC-Cache,9,342.536,925150951,2840680,71464555321,215221,0.000128,0.000147,0.000201
AC-Cache,9,322.064,925150951,3045060,66249754562,213864,0.000127,0.000147,0.000207
AC-Cache,9,319.324,925150951,3086780,66249754562,216633,0.000125,0.000144,0.000197
AC-Cache,12,353.755,925150951,2777870,67662626697,199076,0.000127,0.000147,0.000204
AC-Cache,12,328.871,925150951,2990180,62742171813,198594,0.000124,0.000143,0.000197
AC-Cache,12,331.944,925150951,2970180,62742171813,197282,0.000125,0.000144,0.000199
AC-Cache,15,364.018,925150951,2647350,66736976920,187276,0.000127,0.000148,0.000211
AC-Cache,15,361.296,925150951,2673740,66736976920,189276,0.000125,0.000145,0.000203
AC-Cache,15,362.865,925150951,2659840,66736976920,188190,0.000125,0.000146,0.000205
EC-Cache,3,1158.13,925150951,812320,1.00382E+11,86107,0.000322,0.000429,0.001739
EC-Cache,3,1222.55,925150951,771477,1.00382E+11,81779.9,0.000405,0.000638,0.00128
EC-Cache,3,1134.16,925150951,829637,1.00382E+11,87915.3,0.000313,0.000468,0.001108
EC-Cache,6,808.465,925150951,1152270,1.00382E+11,122099,0.000145,0.000165,0.000262
EC-Cache,6,814.211,925150951,1144830,1.00382E+11,121314,0.000147,0.000169,0.000316
EC-Cache,6,813.972,925150951,1145790,1.00382E+11,121424,0.000147,0.000169,0.000292
EC-Cache,9,774.828,925150951,1201530,1.00382E+11,127329,0.00014,0.000159,0.000221
EC-Cache,9,778.733,925150951,1198620,1.00382E+11,127012,0.00014,0.000159,0.000225
EC-Cache,9,779.905,925150951,1195180,1.00382E+11,126657,0.000141,0.000161,0.000228
EC-Cache,12,764.854,925150951,1215650,1.00382E+11,128809,0.000139,0.000158,0.000229
EC-Cache,12,767.609,925150951,1214110,1.00382E+11,128652,0.000139,0.000158,0.000225
EC-Cache,12,765.426,925150951,1216090,1.00382E+11,128871,0.000138,0.000158,0.000221
EC-Cache,15,752.866,925150951,1235770,1.00382E+11,130955,0.000137,0.000157,0.000225
EC-Cache,15,752.158,925150951,1236920,1.00382E+11,131070,0.000137,0.000157,0.000239
EC-Cache,15,749.161,925150951,1240780,1.00382E+11,131481,0.000137,0.000157,0.000223
Baseline,3,1157.03,925150951,808738,1.00382E+11,85710.5,0.000332,0.000445,0.001841
Baseline,3,1229.77,925150951,769301,1.00382E+11,81535.4,0.000419,0.000585,0.001194
Baseline,3,1204.61,925150951,790894,1.00382E+11,83823.7,0.000385,0.000589,0.001127
Baseline,6,784.797,925150951,1186910,1.00382E+11,125759,0.00014,0.000158,0.000261
Baseline,6,787.907,925150951,1181750,1.00382E+11,125231,0.000142,0.000161,0.000306
Baseline,6,791.141,925150951,1178090,1.00382E+11,124829,0.000143,0.000165,0.000288
Baseline,9,755.103,925150951,1236740,1.00382E+11,131042,0.000135,0.000152,0.00021
Baseline,9,754.052,925150951,1236340,1.00382E+11,131001,0.000135,0.000152,0.000233
Baseline,9,756.163,925150951,1235740,1.00382E+11,130950,0.000136,0.000153,0.000211
Baseline,12,745.001,925150951,1250350,1.00382E+11,132485,0.000134,0.000151,0.00021
Baseline,12,741.553,925150951,1255900,1.00382E+11,133078,0.000133,0.00015,0.000209
Baseline,12,740.762,925150951,1258780,1.00382E+11,133381,0.000133,0.00015,0.000205
Baseline,15,726.494,925150951,1280480,1.00382E+11,135678,0.000132,0.000149,0.000227
Baseline,15,724.363,925150951,1284300,1.00382E+11,136089,0.000131,0.000148,0.00021
Baseline,15,722.149,925150951,1288740,1.00382E+11,136546,0.000131,0.000148,0.000207
SP-Cache,3,1144.7,925150951,818010,1.00375E+11,86696.9,0.000323,0.00048,0.001616
SP-Cache,3,1193.31,925150951,793185,1.00376E+11,84055.2,0.000377,0.000539,0.000967
SP-Cache,3,1093.09,925150951,858947,1.00374E+11,91036.9,0.000285,0.000367,0.001034
SP-Cache,6,800.039,925150951,1165370,1.00352E+11,123486,0.000143,0.000161,0.000249
SP-Cache,6,801.671,925150951,1161720,1.00137E+11,122831,0.000144,0.000163,0.000274
SP-Cache,6,805.431,925150951,1157690,1.00364E+11,122678,0.000146,0.000167,0.000295
SP-Cache,9,770.094,925150951,1211360,1.00338E+11,128366,0.000139,0.000157,0.000221
SP-Cache,9,769.029,925150951,1212610,1.00248E+11,128378,0.000139,0.000157,0.000221
SP-Cache,9,771.399,925150951,1209720,1.00345E+11,128214,0.000139,0.000158,0.000223
SP-Cache,12,759.892,925150951,1225930,1.00349E+11,129944,0.000137,0.000156,0.000216
SP-Cache,12,758.187,925150951,1228870,1.00354E+11,130268,0.000137,0.000156,0.000217
SP-Cache,12,756.236,925150951,1231940,1.0035E+11,130589,0.000137,0.000155,0.000215
SP-Cache,15,745.558,925150951,1251400,1.00342E+11,132650,0.000135,0.000155,0.000217
SP-Cache,15,743.483,925150951,1254080,1.00341E+11,132948,0.000135,0.000154,0.000215
SP-Cache,15,739.719,925150951,1259180,1.00344E+11,133483,0.000135,0.000154,0.000213
Replication,3,895.352,925150952,1.05E+06,1.00382E+11,111318,0.000187,0.000279,0.000794
Replication,3,899.652,925150952,1.05E+06,1.00382E+11,111205,0.000187,0.000287,0.000755
Replication,3,902.835,925150952,1.04E+06,1.00382E+11,110617,0.000189,0.000284,0.000744
Replication,6,730.116,925150952,1.29E+06,1.00382E+11,136575,0.000146,0.000173,0.001007
Replication,6,729.576,925150952,1.29E+06,1.00382E+11,136975,0.000145,0.000171,0.000433
Replication,6,726.644,925150952,1.30E+06,1.00382E+11,137333,0.000145,0.000169,0.000434
Replication,9,695.555,925150952,1.36E+06,1.00382E+11,143622,0.000137,0.000156,0.000372
Replication,9,691.979,925150952,1.36E+06,1.00382E+11,144276,0.000137,0.000157,0.000385
Replication,9,694.502,925150952,1.36E+06,1.00382E+11,144102,0.000137,0.000157,0.000386
Replication,12,686.439,925150952,1.37E+06,1.00382E+11,145528,0.000135,0.000153,0.000372
Replication,12,682.159,925150952,1.38E+06,1.00382E+11,145901,0.000135,0.000153,0.000368
Replication,12,685.249,925150952,1.38E+06,1.00382E+11,145896,0.000135,0.000153,0.000354
Replication,15,755.368,925150952,1.26E+06,98402183010,130484,0.000134,0.000151,0.000373
Replication,15,688.781,925150952,1.36E+06,1.00382E+11,144623,0.000134,0.000152,0.000341
Replication,15,689.885,925150952,1.36E+06,1.00382E+11,144535,0.000134,0.000152,0.000359